repo_name,repo_owner,git_url,api_base_url,source_type
fpm,jordansissel,git://github.com/jordansissel/fpm.git,http://api.github.com,github_repo
eclipse-color-theme,eclipse-color-theme,git://github.com/eclipse-color-theme/eclipse-color-theme.git,http://api.github.com,github_repo
infoglue,bogeblad,git://github.com/bogeblad/infoglue.git,http://api.github.com,github_repo
PAMI,marcelog,git://github.com/marcelog/PAMI.git,http://api.github.com,github_repo
perkeep,perkeep,git://github.com/perkeep/perkeep.git,http://api.github.com,github_repo
cli-table,Automattic,git://github.com/Automattic/cli-table.git,http://api.github.com,github_repo
cms-base,rapila,git://github.com/rapila/cms-base.git,http://api.github.com,github_repo
annotator,openannotation,git://github.com/openannotation/annotator.git,http://api.github.com,github_repo
qualitio,qualitio,git://github.com/qualitio/qualitio.git,http://api.github.com,github_repo
belajarGit,endymuhardin,git://github.com/endymuhardin/belajarGit.git,http://api.github.com,github_repo
direnv,direnv,git://github.com/direnv/direnv.git,http://api.github.com,github_repo
JavaScript-Garden,BonsaiDen,git://github.com/BonsaiDen/JavaScript-Garden.git,http://api.github.com,github_repo
aplpy,aplpy,git://github.com/aplpy/aplpy.git,http://api.github.com,github_repo
GitHub-Dark,StylishThemes,git://github.com/StylishThemes/GitHub-Dark.git,http://api.github.com,github_repo
ObscuraCam,guardianproject,git://github.com/guardianproject/ObscuraCam.git,http://api.github.com,github_repo
showslow,sergeychernyshev,git://github.com/sergeychernyshev/showslow.git,http://api.github.com,github_repo
cloudprint,armooo,git://github.com/armooo/cloudprint.git,http://api.github.com,github_repo
Tower-Defense,Moutarde,git://github.com/Moutarde/Tower-Defense.git,http://api.github.com,github_repo
cassis,tantek,git://github.com/tantek/cassis.git,http://api.github.com,github_repo
webpy.github.com,webpy,git://github.com/webpy/webpy.github.com.git,http://api.github.com,github_repo
BigText,zachleat,git://github.com/zachleat/BigText.git,http://api.github.com,github_repo
n,tj,git://github.com/tj/n.git,http://api.github.com,github_repo
Brighter,BrighterCommand,git://github.com/BrighterCommand/Brighter.git,http://api.github.com,github_repo
spree_wishlist,spree-contrib,git://github.com/spree-contrib/spree_wishlist.git,http://api.github.com,github_repo
spree_related_products,spree-contrib,git://github.com/spree-contrib/spree_related_products.git,http://api.github.com,github_repo
Pidgin-GPG,segler-alex,git://github.com/segler-alex/Pidgin-GPG.git,http://api.github.com,github_repo
bartendro,partyrobotics,git://github.com/partyrobotics/bartendro.git,http://api.github.com,github_repo
p5-Teng,nekokak,git://github.com/nekokak/p5-Teng.git,http://api.github.com,github_repo
neo4j-tutorial,jimwebber,git://github.com/jimwebber/neo4j-tutorial.git,http://api.github.com,github_repo
ChaiScript,ChaiScript,git://github.com/ChaiScript/ChaiScript.git,http://api.github.com,github_repo
RestExpress,RestExpress,git://github.com/RestExpress/RestExpress.git,http://api.github.com,github_repo
JAIL,sebarmeli,git://github.com/sebarmeli/JAIL.git,http://api.github.com,github_repo
FGallery-iPhone,gdavis,git://github.com/gdavis/FGallery-iPhone.git,http://api.github.com,github_repo
goliath,postrank-labs,git://github.com/postrank-labs/goliath.git,http://api.github.com,github_repo
away3d-core-fp10,away3d,git://github.com/away3d/away3d-core-fp10.git,http://api.github.com,github_repo
vimpager,rkitover,git://github.com/rkitover/vimpager.git,http://api.github.com,github_repo
ve,Kimtaro,git://github.com/Kimtaro/ve.git,http://api.github.com,github_repo
hyde,hyde,git://github.com/hyde/hyde.git,http://api.github.com,github_repo
streamlinejs,Sage,git://github.com/Sage/streamlinejs.git,http://api.github.com,github_repo
securimage,dapphp,git://github.com/dapphp/securimage.git,http://api.github.com,github_repo
dom-monster,madrobby,git://github.com/madrobby/dom-monster.git,http://api.github.com,github_repo
pest,educoder,git://github.com/educoder/pest.git,http://api.github.com,github_repo
elixir,elixir-lang,git://github.com/elixir-lang/elixir.git,http://api.github.com,github_repo
mosh,mobile-shell,git://github.com/mobile-shell/mosh.git,http://api.github.com,github_repo
compound,1602,git://github.com/1602/compound.git,http://api.github.com,github_repo
android-pulltorefresh,johannilsson,git://github.com/johannilsson/android-pulltorefresh.git,http://api.github.com,github_repo
PHP-Daemon,shaneharter,git://github.com/shaneharter/PHP-Daemon.git,http://api.github.com,github_repo
LK8000,LK8000,git://github.com/LK8000/LK8000.git,http://api.github.com,github_repo
sc2reader,GraylinKim,git://github.com/GraylinKim/sc2reader.git,http://api.github.com,github_repo
nilearn,nilearn,git://github.com/nilearn/nilearn.git,http://api.github.com,github_repo
PAGI,marcelog,git://github.com/marcelog/PAGI.git,http://api.github.com,github_repo
gtk-fortran,jerryd,git://github.com/jerryd/gtk-fortran.git,http://api.github.com,github_repo
